App Name,Category,Sub Category,Rating,Reviews,Installs,Price,Content Rating,Last Updated
Kids Reading Sight Words,GAME,EDUCATIONAL,4.172932148,399.0,"10,000+",2.99 ,Everyone,17-Sep-18
Learning Letters for Toddlers - Baby ABC for Kids,GAME,EDUCATIONAL,3.738647461,6122.0,"1,000,000+",0,Everyone,12-Mar-15
Kids Education (Preschool),GAME,EDUCATIONAL,4.235115528,3292.0,"1,000,000+",0,Everyone,2-Apr-19
Animal Hair Salon Australia - Pet Beauty & Fashion,GAME,EDUCATIONAL,4.397143841,7773.0,"1,000,000+",0,Everyone,17-Jan-19
Kids Doodle - Color & Draw,GAME,CASUAL,4.122294903,418481.0,"50,000,000+",0,Everyone,17-Dec-16
Draw and Guess Online,GAME,WORD,4.688154697,155574.0,"1,000,000+",0,Teen,20-Jan-17
Office Story,GAME,SIMULATION,4.073109627,56217.0,"1,000,000+",0,Everyone,12-Feb-18
Monster Trucks Game for Kids 2,GAME,EDUCATIONAL,4.343037605,34212.0,"10,000,000+",0,Everyone,25-Feb-19
Troll Face Quest: Video Memes - Brain Game,GAME,PUZZLE,4.540003777,451556.0,"10,000,000+",0,Teen,13-Feb-19
Hydrocarbons: Chemical Structures & Formulas Quiz,GAME,EDUCATIONAL,4.39825964,1494.0,"100,000+",0,Everyone,25-Sep-17
Sudoku,GAME,PUZZLE,4.457895279,557883.0,"10,000,000+",0,Everyone,2-Nov-18
Coloring & Learn,GAME,EDUCATIONAL,4.435975552,20703.0,"10,000,000+",0,Everyone,2-Apr-19
Jigty Jigsaw Puzzles,GAME,PUZZLE,4.299723148,712444.0,"10,000,000+",0,Everyone,18-May-18
Angry Birds Epic RPG,GAME,ROLE_PLAYING,4.49768877,2649608.0,"10,000,000+",0,Everyone,8-Aug-18
Masha and the Bear. Educational Games,GAME,EDUCATIONAL,4.39803791,92446.0,"10,000,000+",0,Everyone,9-Dec-18
Carrier Landings,GAME,SIMULATION,4.176088333,126641.0,"1,000,000+",0,Everyone,19-Nov-18
KenKen Classic II,GAME,PUZZLE,4.401107311,7948.0,"100,000+",0,Everyone,6-Mar-19
WordHero,GAME,WORD,4.453099251,63304.0,"1,000,000+",0,Everyone,31-Mar-19
Wordbase � Fun Word Search Battles with Friends,GAME,WORD,3.979807377,14114.0,"500,000+",0,Everyone,19-Mar-18
Fruit Nibblers,GAME,PUZZLE,4.574940205,209213.0,"5,000,000+",0,Everyone,17-Aug-18
Wheel of Fortune - Quiz,GAME,EDUCATIONAL,4.436855316,57788.0,"1,000,000+",0,Everyone,29-Mar-19
Farming Simulator 14,GAME,SIMULATION,4.50203371,640194.0,"50,000,000+",0,Everyone,17-Jul-17
Memory training,GAME,PUZZLE,3.726246834,9925.0,"1,000,000+",0,Everyone,22-Mar-19
Trivia Crack,GAME,TRIVIA,4.459056377,6685906.0,"100,000,000+",0,Everyone,29-Mar-19
Word Games,GAME,WORD,4.111032486,1414.0,"100,000+",0,Everyone,1-Feb-19
Construction Simulator 2014,GAME,SIMULATION,4.339837074,104091.0,"1,000,000+",0.99 ,Everyone,2-Apr-15
Transmission,GAME,PUZZLE,4.345395088,39546.0,"1,000,000+",0,Everyone,4-Oct-17
Jane's Farm: interesting game,GAME,SIMULATION,4.176166534,46615.0,"1,000,000+",0,Everyone,18-Mar-19
Brain Games,GAME,PUZZLE,4.067443848,74907.0,"5,000,000+",0,Everyone,22-Feb-19
Happy Chef 2,GAME,ARCADE,4.338436127,230602.0,"1,000,000+",0,Everyone,12-Dec-13
QuizUp,GAME,TRIVIA,4.323415756,702869.0,"10,000,000+",0,Everyone,15-Feb-19
Word Crack Free,GAME,WORD,4.224649429,157837.0,"5,000,000+",0,Everyone,26-Oct-16
Sudoku Free,GAME,BOARD,4.367099762,153130.0,"10,000,000+",0,Everyone,11-Feb-19
Puzzles with Matches,GAME,PUZZLE,4.239861965,158683.0,"10,000,000+",0,Everyone,20-Jun-18
AdVenture Capitalist,GAME,SIMULATION,4.583651066,1458142.0,"10,000,000+",0,Everyone,27-Mar-19
Mind Games,GAME,PUZZLE,4.177426815,178795.0,"10,000,000+",0,Everyone,19-Dec-18
PowerVocab Word Game,GAME,EDUCATIONAL,3.948609829,5935.0,"1,000,000+",0,Everyone,11-Mar-19
Unblock Me FREE,GAME,PUZZLE,4.273757935,692776.0,"50,000,000+",0,Everyone,28-Feb-19
Logic Traces,GAME,PUZZLE,4.137395382,837.0,"50,000+",0,Everyone,13-Nov-18
Flow Free: Hexes,GAME,PUZZLE,4.620332718,32352.0,"5,000,000+",0,Everyone,16-Dec-18
Ramen Chain,GAME,ACTION,4.246929169,60811.0,"1,000,000+",0,Everyone,19-Aug-16
WordBrain,GAME,WORD,4.365977764,945358.0,"10,000,000+",0,Everyone,2-Apr-19
Puzzle Kids - Animals Shapes and Jigsaw Puzzles,GAME,EDUCATIONAL,4.46403265,3670.0,"1,000,000+",0,Everyone,20-Jan-19
"World Citizen: Country, Capital & Flag Trivia",GAME,EDUCATIONAL,4.287963867,4636.0,"100,000+",0,Everyone,22-Sep-18
Cookie Jam - Match 3 Games & Free Puzzle Game,GAME,PUZZLE,4.359259605,928690.0,"50,000,000+",0,Everyone,13-Mar-19
Ruzzle Free,GAME,WORD,4.23157692,342832.0,"10,000,000+",0,Everyone,27-Mar-19
Lightbot : Code Hour,GAME,PUZZLE,4.514311314,14429.0,"1,000,000+",0,Everyone,2-Dec-16
Word Chums,GAME,WORD,4.759203434,136252.0,"1,000,000+",0,Everyone,17-Jan-19
The Little Crane That Could,GAME,SIMULATION,4.033684254,59672.0,"5,000,000+",0,Everyone,4-Mar-19
Little Alchemy,GAME,PUZZLE,4.225488663,182763.0,"10,000,000+",0,Everyone,23-Aug-17
GRE Vocabulary Builder - Test Prep,GAME,EDUCATIONAL,4.373065948,75681.0,"5,000,000+",0,Everyone,11-Jun-18
Bridge Constructor FREE,GAME,SIMULATION,4.046162128,363070.0,"10,000,000+",0,Everyone,17-Oct-18
Subway Surfers,GAME,ARCADE,4.498130798,29834812.0,"1,000,000,000+",0,Everyone 10+,7-Mar-19
KungFu Warrior,GAME,ARCADE,4.196175575,45811.0,"1,000,000+",0,Teen,25-Aug-11
Bruce Lee: Enter The Game,GAME,ARCADE,4.227865219,251561.0,"10,000,000+",0,Teen,3-Oct-16
NinJump,GAME,ARCADE,4.287317276,427169.0,"50,000,000+",0,Everyone,13-Jun-18
PAC-MAN,GAME,ARCADE,4.160675049,759501.0,"100,000,000+",0,Everyone,11-Mar-19
Timberman,GAME,ARCADE,4.090782166,266473.0,"5,000,000+",0,Everyone,12-Jun-18
Chilly Snow,GAME,ARCADE,4.448843956,78896.0,"5,000,000+",0,Teen,9-Aug-18
FOTONICA,GAME,ARCADE,4.305375576,3553.0,"10,000+",2.99 ,Everyone,17-Oct-15
Slayin,GAME,ARCADE,4.591133595,209286.0,"1,000,000+",0,Everyone 10+,11-May-15
Panda Jump Seasons,GAME,ARCADE,4.078627586,43420.0,"5,000,000+",0,Everyone,15-Nov-18
FATAL FURY SPECIAL,GAME,ARCADE,3.983981609,874.0,"10,000+",3.99 ,Teen,6-Mar-17
Sonic Jump Pro,GAME,ARCADE,4.283016682,9162.0,"100,000+",2.99 ,Everyone,5-Feb-18
Shooter,GAME,ARCADE,4.085981846,31367.0,"1,000,000+",0,Everyone 10+,16-Oct-18
Super Falling Fred,GAME,ARCADE,3.972328424,48895.0,"5,000,000+",0,Teen,25-Nov-15
Space Shooter: Galaxy Attack,GAME,ARCADE,4.616948128,274506.0,"10,000,000+",0,Everyone,31-Mar-19
Angry Birds Rio,GAME,ARCADE,4.388594151,2709377.0,"100,000,000+",0,Everyone,8-Feb-19
Call of Mini� Infinity,GAME,ARCADE,4.168384552,706710.0,"10,000,000+",0,Teen,3-Jan-18
EA SPORTS UFC�,GAME,SPORTS,4.467981339,2541987.0,"50,000,000+",0,Teen,28-Mar-19
Fruit Ninja�,GAME,ARCADE,4.341435432,5162476.0,"100,000,000+",0,Everyone,19-Mar-19
Monster Breaker Hero,GAME,ARCADE,4.514876366,50919.0,"500,000+",0,Everyone,22-Mar-19
Heroes of Loot Free,GAME,ARCADE,4.020742893,21935.0,"100,000+",0,Everyone,22-Dec-17
Subway Princess Runner,GAME,ARCADE,4.301476002,205897.0,"50,000,000+",0,Teen,2-Apr-19
Hungry Dragon�,GAME,ARCADE,4.584347725,146584.0,"5,000,000+",0,Teen,27-Mar-19
Angry Birds Star Wars HD,GAME,ARCADE,4.48694849,38501.0,"5,000,000+",0,Everyone,31-Aug-18
Ms. PAC-MAN,GAME,ARCADE,4.291109562,5534.0,"100,000+",3.99 ,Everyone,11-Apr-18
Geometry Dash,GAME,ARCADE,4.759553432,658279.0,"1,000,000+",1.99 ,Everyone,15-Nov-17
Pixel Dodgers,GAME,ARCADE,4.533528805,2729.0,"100,000+",0,Everyone 10+,7-Jun-17
Oddbods Turbo Run,GAME,ARCADE,4.528425694,6086.0,"1,000,000+",0,Everyone,31-Jan-19
Pocket God�,GAME,ARCADE,3.714609146,30481.0,"500,000+",0.99 ,Everyone 10+,10-Dec-13
Proton Pulse Google Cardboard,GAME,ARCADE,4.22636795,402.0,"10,000+",2.99 ,Everyone,17-Jun-15
Granny,GAME,ARCADE,4.489215851,2095954.0,"50,000,000+",0,Mature 17+,12-Mar-19
Pixel Gunner,GAME,ACTION,3.947579622,31400.0,"1,000,000+",0,Teen,19-Mar-19
Ball King - Arcade Basketball,GAME,ARCADE,4.435164928,63029.0,"1,000,000+",0,Everyone,31-May-18
Gun Strike,GAME,ARCADE,4.481217384,44136.0,"1,000,000+",0,Teen,7-Sep-16
Bricks DEMOLITION,GAME,ARCADE,3.97380209,120811.0,"10,000,000+",0,Everyone,9-Jun-18
Vector,GAME,ARCADE,4.38226223,3132216.0,"100,000,000+",0,Everyone 10+,18-Jul-16
LostMiner: Block Building & Craft Game,GAME,ADVENTURE,4.47092104,18553.0,"500,000+",0,Everyone,25-Mar-19
PAC-MAN Championship Edition,GAME,ARCADE,4.006351471,2834.0,"50,000+",5.99 ,Everyone,6-Apr-18
Stupid Zombies,GAME,ARCADE,4.460585117,509313.0,"10,000,000+",0,Everyone 10+,1-Mar-19
Tiny Tower,GAME,SIMULATION,4.591022015,50702.0,"1,000,000+",0,Everyone,21-Oct-18
Vector Full,GAME,ARCADE,4.20943737,36049.0,"500,000+",0.99 ,Everyone 10+,18-Jul-16
PAC-MAN Championship Edition DX,GAME,ARCADE,4.473869324,1990.0,"10,000+",1.99 ,Everyone,23-Apr-18
Bricks Breaker Galaxy Shooter,GAME,ARCADE,4.351742744,4762.0,"500,000+",0,Everyone,4-Mar-19
Temple Run,GAME,ARCADE,4.345997334,4188763.0,"100,000,000+",0,Everyone,4-Mar-19
Galaxy Hoppers: Crossy Wars,GAME,ARCADE,4.187111855,14975.0,"1,000,000+",0,Everyone 10+,14-Jan-16
Daddy Long Legs,GAME,ARCADE,4.252427578,504941.0,"10,000,000+",0,Everyone,31-Jul-18
Kung Fu Do Fighting,GAME,ARCADE,4.005999565,298517.0,"50,000,000+",0,Teen,27-Mar-19
Minecraft,GAME,ARCADE,4.504843235,2659205.0,"10,000,000+",6.99 ,Everyone 10+,19-Mar-19
GAROU: MARK OF THE WOLVES,GAME,ARCADE,4.584257126,2706.0,"10,000+",3.99 ,Teen,21-Mar-17
Panda Jump,GAME,ARCADE,4.075476646,40158.0,"5,000,000+",0,Everyone,25-Sep-15
Fruit Ninja Classic,GAME,ARCADE,4.270035267,86085.0,"1,000,000+",0.99 ,Everyone,5-Sep-18
THE KING OF FIGHTERS-A 2012(F),GAME,ACTION,4.390208721,430293.0,"10,000,000+",0,Teen,21-Oct-16
Froggy Jump,GAME,ARCADE,4.32582283,26318.0,"1,000,000+",0,Everyone,16-Nov-16
PewPew 2,GAME,ARCADE,4.701817989,2475.0,"10,000+",3.49 ,Everyone,25-May-16
Pixel Gun 3D: Shooting games & Battle Royale,GAME,ACTION,4.500946522,4985181.0,"50,000,000+",0,Teen,2-Apr-19
Run,GAME,ARCADE,4.35609293,550491.0,"10,000,000+",0,Everyone,26-Feb-18
Papi Jump,GAME,ARCADE,4.289239407,52199.0,"5,000,000+",0,Everyone,29-Oct-15
Agent Dash,GAME,ARCADE,4.226191044,381571.0,"10,000,000+",0,Everyone,13-Aug-18
Real Boxing ��Fighting Game,GAME,SPORTS,4.195741653,477778.0,"10,000,000+",0,Teen,22-Feb-19
Zombie Killing - Call of Killers,GAME,ARCADE,4.147250652,332936.0,"10,000,000+",0,Mature 17+,20-Jan-18
Call of Mini: Sniper,GAME,ARCADE,3.981639385,42700.0,"1,000,000+",0,Teen,17-Apr-13
Shadow Fight 2,GAME,ACTION,4.648891449,11871704.0,"100,000,000+",0,Everyone 10+,2-Apr-19
The Crossing Dead: Crossy Zombie Apocalypse Road,GAME,ARCADE,4.199268818,44578.0,"1,000,000+",0,Teen,16-Apr-18
Running Fred,GAME,ARCADE,4.295659542,237990.0,"10,000,000+",0,Teen,8-Aug-17
Color Switch,GAME,ARCADE,4.439114094,160596.0,"10,000,000+",0,Everyone,31-Mar-19
MARVEL Contest of Champions,GAME,ACTION,4.315505981,2684325.0,"50,000,000+",0,Teen,1-Apr-19
Happy Jump,GAME,ARCADE,4.278428555,366909.0,"10,000,000+",0,Everyone,21-Dec-15
Color Road,GAME,ARCADE,4.111223221,186013.0,"10,000,000+",0,Everyone,27-Feb-19
Crossy Heroes: Avengers of Smashy City,GAME,ARCADE,4.060820103,52203.0,"5,000,000+",0,Everyone 10+,9-Feb-18
Doodle Jump,GAME,ARCADE,4.29482317,1098014.0,"50,000,000+",0,Everyone,26-Jan-19
Angry Birds Classic,GAME,ARCADE,4.402184963,5663153.0,"100,000,000+",0,Everyone,18-Feb-19
Skater Boy,GAME,ARCADE,4.269454956,1178909.0,"100,000,000+",0,Everyone,29-Oct-18
Prize Claw,GAME,ARCADE,4.021560192,461222.0,"50,000,000+",0,Everyone,11-Jan-19
Ramboat - Offline Jumping Shooter and Running Game,GAME,ARCADE,4.41955471,127273.0,"5,000,000+",0,Teen,18-Dec-18
Super Fowlst,GAME,ARCADE,4.447665215,1242.0,"100,000+",0,Everyone 10+,1-Apr-19
Sling Kong,GAME,ARCADE,4.620389462,221427.0,"5,000,000+",0,Everyone,27-Mar-19
Galaxy sky shooting,GAME,ARCADE,4.494402409,17061.0,"5,000,000+",0,Everyone 10+,29-Mar-19
Robot Unicorn Attack 2,GAME,ARCADE,4.323367119,299684.0,"10,000,000+",0,Everyone,13-Dec-18
Nimble Quest,GAME,ARCADE,4.122867584,50412.0,"1,000,000+",0,Everyone 10+,18-Jul-15
Happy Hop: Kawaii Jump,GAME,ARCADE,4.827293873,162270.0,"1,000,000+",0,Everyone,12-Feb-19
Angry Birds Star Wars,GAME,ARCADE,4.345862389,1224770.0,"100,000,000+",0,Everyone,31-Aug-18
Zombie Smasher,GAME,ARCADE,4.257984638,891453.0,"50,000,000+",0,Teen,4-Jan-18
MORTAL KOMBAT,GAME,ACTION,4.443528175,3413713.0,"50,000,000+",0,Mature 17+,12-Mar-19
Jetpack Joyride,GAME,ARCADE,4.405089855,4743015.0,"100,000,000+",0,Everyone 10+,19-Mar-19
NinJump DLX: Endless Ninja Fun,GAME,ARCADE,4.277667999,210910.0,"10,000,000+",0,Everyone,13-Jun-18
Evoland 2,GAME,ROLE_PLAYING,4.2631464,4564.0,"50,000+",4.99 ,Everyone 10+,20-Aug-18
Roblox,GAME,ADVENTURE,4.553581238,7159289.0,"100,000,000+",0,Everyone 10+,1-Apr-19
Toon Blast,GAME,PUZZLE,4.745224476,2063830.0,"50,000,000+",0,Everyone,25-Mar-19
